SKU*,Description
F278,"<p><strong><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/F278.jpg"" style=""width: 970px; height: 600px;"" /></strong></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Pedals are foldable and great for all folding bike with 9/16"" crank arm thread.</li> 	<li><strong>STRONG PLATFORM</strong>: The pedal platforms are made of light &amp; strong aluminum which is much more durable than plastic pedals. Body: Aluminum. Cage: PC. Size: 104.7*84*28.2 mm.</li> 	<li><strong>BEARING</strong>:Spindle: Boron, thread size: 9/16"". Reliable polymer bearing.</li> 	<li><strong>WEIGHT</strong>: 396g /Pair. Package: Two pedals</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/8VIKIZ8xxPw"" width=""560""></iframe></p> "
FK-02-12,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/FK-02.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Convert a multi speed hub to single speed wheel. Compatible with all Shimano or Sram 7 to 11 speed cassette type hub body, mountain and road. NOTE: It will NOT covert the hub into fixie, so the hub is still a freewheel hub.</li> 	<li><strong>CHAIN SIZE</strong>: The sprocket is compatible with the chain width from 1/2' x 3/32' to 1/2' x 11/128'. ( 7 speed to 11 speed chains). You can use your original chain! With a choice of different sprocket teeth selections, you can always get the perfect pedaling ratio.</li> 	<li><strong>PERFECT CHAIN LINE</strong>: The kit includes a set of single speed spacers, lockring and sprocket.Comes in a range of spacer size's Allowing to get a perfect chain line. Please watch the video in the listing for more details.</li> 	<li><strong>PACKAGE</strong>: Spacers: 2x 10mm, 1x 5mm, 4x 3mm. Hub Ring Nut (lock ring): Quality alloy 6061. Sprocket: Cro-mo steel construction ensures reliability.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <ul> 	<li>&nbsp;</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/TLzKN3HetiY"" width=""560""></iframe></p> "
FK-02-13,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/FK-02.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Convert a multi speed hub to single speed wheel. Compatible with all Shimano or Sram 7 to 11 speed cassette type hub body, mountain and road. NOTE: It will NOT covert the hub into fixie, so the hub is still a freewheel hub.</li> 	<li><strong>CHAIN SIZE</strong>: The sprocket is compatible with the chain width from 1/2' x 3/32' to 1/2' x 11/128'. ( 7 speed to 11 speed chains). You can use your original chain! With a choice of different sprocket teeth selections, you can always get the perfect pedaling ratio.</li> 	<li><strong>PERFECT CHAIN LINE</strong>: The kit includes a set of single speed spacers, lockring and sprocket.Comes in a range of spacer size's Allowing to get a perfect chain line. Please watch the video in the listing for more details.</li> 	<li><strong>PACKAGE</strong>: Spacers: 2x 10mm, 1x 5mm, 4x 3mm. Hub Ring Nut (lock ring): Quality alloy 6061. Sprocket: Cro-mo steel construction ensures reliability.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <ul> 	<li>&nbsp;</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/l0dkMuXrvkc"" width=""560""></iframe></p> "
FK-02-14,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/FK-02.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Convert a multi speed hub to single speed wheel. Compatible with all Shimano or Sram 7 to 11 speed cassette type hub body, mountain and road. NOTE: It will NOT covert the hub into fixie, so the hub is still a freewheel hub.</li> 	<li><strong>CHAIN SIZE</strong>: The sprocket is compatible with the chain width from 1/2' x 3/32' to 1/2' x 11/128'. ( 7 speed to 11 speed chains). You can use your original chain! With a choice of different sprocket teeth selections, you can always get the perfect pedaling ratio.</li> 	<li><strong>PERFECT CHAIN LINE</strong>: The kit includes a set of single speed spacers, lockring and sprocket.Comes in a range of spacer size's Allowing to get a perfect chain line. Please watch the video in the listing for more details.</li> 	<li><strong>PACKAGE</strong>: Spacers: 2x 10mm, 1x 5mm, 4x 3mm. Hub Ring Nut (lock ring): Quality alloy 6061. Sprocket: Cro-mo steel construction ensures reliability.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <ul> 	<li>&nbsp;</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/1qe-nL9blM0"" width=""560""></iframe></p> "
FK-02-15,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/FK-02.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Convert a multi speed hub to single speed wheel. Compatible with all Shimano or Sram 7 to 11 speed cassette type hub body, mountain and road. NOTE: It will NOT covert the hub into fixie, so the hub is still a freewheel hub.</li> 	<li><strong>CHAIN SIZE</strong>: The sprocket is compatible with the chain width from 1/2' x 3/32' to 1/2' x 11/128'. ( 7 speed to 11 speed chains). You can use your original chain! With a choice of different sprocket teeth selections, you can always get the perfect pedaling ratio.</li> 	<li><strong>PERFECT CHAIN LINE</strong>: The kit includes a set of single speed spacers, lockring and sprocket.Comes in a range of spacer size's Allowing to get a perfect chain line. Please watch the video in the listing for more details.</li> 	<li><strong>PACKAGE</strong>: Spacers: 2x 10mm, 1x 5mm, 4x 3mm. Hub Ring Nut (lock ring): Quality alloy 6061. Sprocket: Cro-mo steel construction ensures reliability.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <ul> 	<li>&nbsp;</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/vu_j3JEeP-8"" width=""560""></iframe></p> "
GG-05,"<p align=""left""><span _fck_bookmark=""1"" style=""display: none;"">&nbsp;</span><span style=""font-size: 12px;""><span> </span></span></p>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/GG-05.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li align=""left""> 	<div><strong>ESSENTIAL</strong>: The difference between over or less pressure in your tire can greatly affect your bike's ability to grip the riding surface and could result in worse results on competition days. With this Venzo Accurate Pressure Gauge you'll always be certain that you're riding on the exact amount of pressure to suit your needs.</div> 	</li> 	<li align=""left""> 	<div><strong>COMPATIBILITY</strong>: 2' Easy to read gauge Presta and Schrader ( French &amp; Car ) valve compatible. With micro pressure release button for fine-tuning. Max. read pressure 160 PSI / 11 Bar.</div> 	</li> 	<li align=""left""> 	<div><strong>COMPACT</strong>: Super Compact. You can carry this somewhere in your saddle bag or tool can every time you head out. Weight only 100 g / 0.2 lbs. Size 11cm ( 4') x 5cm (2').</div> 	</li> 	<li align=""left""> 	<div><span class=""a-list-item""><strong>NO BATTERIES NEEDED</strong>: This analog tire pressure gauge doesn't require any batteries and provides quick and precise readings. Having a protective rubber shield. Comfortable grip while holding the gauge to the tire valve.</span></div> 	</li> 	<li align=""left""><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty !&nbsp; Made in Taiwan.</li> </ul>  <p align=""left"">&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/x3902ZfZzAQ?rel=0"" width=""560""></iframe></p> "
GG-05A,"<p align=""left""><span _fck_bookmark=""1"" style=""display: none;"">&nbsp;</span><span style=""font-size: 12px;""><span> </span></span></p>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/GG-05.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li align=""left""> 	<div><strong>ESSENTIAL</strong>: The difference between over or less pressure in your tire can greatly affect your bike's ability to grip the riding surface and could result in worse results on competition days. With this Venzo Accurate Pressure Gauge you'll always be certain that you're riding on the exact amount of pressure to suit your needs.</div> 	</li> 	<li align=""left""> 	<div><strong>COMPATIBILITY</strong>: 2' Easy to read gauge Presta and Schrader ( French &amp; Car ) valve compatible. With micro pressure release button for fine-tuning. Max. read pressure 160 PSI / 11 Bar.</div> 	</li> 	<li align=""left""> 	<div><strong>COMPACT</strong>: Super Compact. You can carry this somewhere in your saddle bag or tool can every time you head out. Weight only 100 g / 0.2 lbs. Size 11cm ( 4') x 5cm (2').</div> 	</li> 	<li align=""left""> 	<div><span class=""a-list-item""><strong>NO BATTERIES NEEDED</strong>: This analog tire pressure gauge doesn't require any batteries and provides quick and precise readings. Having a protective rubber shield. Comfortable grip while holding the gauge to the tire valve.</span></div> 	</li> 	<li align=""left""><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty !&nbsp; Made in Taiwan.</li> </ul>  <p align=""left"">&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/x3902ZfZzAQ?rel=0"" width=""560""></iframe></p> "
GS-05,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/GS-05.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>ACCURATE</strong>: Digital bike shock pump gives you exactly pressure measurement. Much more accurate than a normal gauge pump. High pressure up to 300 PSI with clear digital gauge. Hi-tech LCD Display panel.</li> 	<li><strong>QUALITY</strong>: The barrel is made of high quality 6063 aluminum. It ensures pumping reliability.</li> 	<li><strong>AIR BLEED BUTTON</strong>: You may have pumped too much air in the shocks or forks. The air bleed button allows to release the excess air without disconnecting the pump hose. Micro adjust 2-3 PSI air Bleeder.</li> 	<li><strong>PORTABLE</strong>: Pump length 12.6 inch, weight is only 7.23oz. Very light and portable. You can carry it with you all the time.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/jNR5-Pltc6k?rel=0"" width=""560""></iframe></p> "
GS-05L,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/GS-05L.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>ACCURATE</strong>: Digital bike shock pump gives you exactly pressure measurement. Much more accurate than a normal gauge pump. High pressure up to 300 PSI with clear digital gauge. Hi-tech LCD Display panel.</li> 	<li><strong>NO AIR LOSS NOZZLE</strong>: Experienced cyclists know shock pump always lose a small mount of air when disconnect, this pump with lever lock on the head will guarantee no air loss. Please watch the video in the listing to learn how it works !</li> 	<li><strong>QUALITY</strong>: The barrel is made of high quality 6063 aluminum. It ensures pumping reliability. AIR BLEED BUTTON: You may have pumped too much air in the shocks or forks. The air bleed button allows to release the excess air without disconnecting the pump hose.&nbsp; Micro adjust 2-3 PSI air Bleeder.</li> 	<li><strong>PORTABLE</strong>: Pump length 12.6 inch, Weight: 211g = 0.46lbs. Very light and portable. You can carry it with you all the time.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p>&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/rsX2A3ROVQ0"" width=""560""></iframe></p>  <p>&nbsp;</p> "
JD-060-3,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/JD-060-3-EBC970.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>STRONG &amp; SAFE</strong>: Your safety is our 1st priority. The skewers are very strong because they are made of heat treated Cromoly alloy. Weight: 98g = 0.21lbs. Anti-Theft locking skewer axle set.</li> 	<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""ahkrg"" data-offset-key=""21gns-0-0""> 	<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""21gns-0-0""><span data-offset-key=""21gns-0-0"" style=""font-weight: bold;""><span data-text=""true"">NON QUICK RELEASE</span></span><span data-offset-key=""21gns-0-1""><span data-text=""true"">: Prevent removing wheels by hands. You must use wrench tool (included) to remove the wheels. Light weight and more secure than regular quick release axles. Use the included special combination tool to lock/release the skewers.</span></span></div> 	</li> 	<li><strong>SPECIFICATION</strong>: Front Axle: 5mm x 110mm. Rear Axle: 5mm x 148mm . Seatpost Axle: 27mm.</li> 	<li><strong>LONG LASTING</strong>: The skewers will be never broken or rusted. (Please apply some grease initially).</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty! Made in Taiwan.</li> </ul> "
JD-861A,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC8302-Edit.jpg"" style=""width: 973px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: The bar ends are suitable for handlebar outer diameter: 22.2 mm. Very easy to install. Please watch the video in the listing.</li> 	<li><strong>PREVENT HAND NUMBNESS</strong>: Bar end with anatomical shape and soft grip krayton surface to prevent hand numbness, Short and small, with ergonomic design. Material: Alloy with kraton.</li> 	<li><strong>SECURE GRIP</strong>: Increased friction for more secure grip, support, and better control. Perfect ergonomic alignment and superior vibration dampening.</li> 	<li><strong>COMFORTABLE RIDING</strong>: Kraton surface prevents soreness and numbness of the hand and finger by providing optimal pressure distribution, especially during long riding and cold weather. Weight only 148g per pair.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/AfWLBlXRbG4"" width=""560""></iframe></p> "
KP-449B3,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970-2(3).jpg"" style=""width: 970px; height: 600px;"" /></p>  <p>&nbsp;</p>  <div data-contents=""true""> <ul class=""public-DraftStyleDefault-ul"" data-offset-key=""5ejn9-0-0""> 	<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-reset public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""1almg"" data-offset-key=""5ejn9-0-0""> 	<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""5ejn9-0-0""><span data-offset-key=""5ejn9-0-0"" style=""font-weight: bold;""><span data-text=""true"">HEIGHT ADJUSTABLE DESIGN</span></span><span data-offset-key=""5ejn9-0-1""><span data-text=""true"">: The height is adjustable to fit nearly all bikes, additional support on top of wheel tire will ensure extra stability when you park the bike in. This great design will be perfect to use with 2 or more different wheel sized bikes, you only need the one model rack.The bike stand will fit all bikes ranging from kids bikes to 24'- 29' mountain bikes, 650c -700c road bikes, except bikes with the tires more than </span></span><span data-offset-key=""5ejn9-0-2"" style=""font-weight: bold;""><span data-text=""true"">2.8</span></span><span data-offset-key=""5ejn9-0-3""><span data-text=""true"">' in width.</span></span></div> 	</li> 	<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""1almg"" data-offset-key=""7k6uh-0-0""> 	<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""7k6uh-0-0""><span data-offset-key=""7k6uh-0-0"" style=""font-weight: bold;""><span data-text=""true"">CUSTOM STORAGE SOLUTION</span></span><span data-offset-key=""7k6uh-0-1""><span data-text=""true"">: If you purchase 2 or more bike racks, it will include the connector(s) which will allow you to link the racks together at a desired angle or parallel to each other. These linked racks are much more stable than single one alone. Please watch the video in the listings for more details. </span></span></div> 	</li> 	<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""1almg"" data-offset-key=""adbc4-0-0""> 	<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""adbc4-0-0""><span data-offset-key=""adbc4-0-0"" style=""font-weight: bold;""><span data-text=""true"">EASY TO INSTALL:</span></span><span data-offset-key=""adbc4-0-1""><span data-text=""true""> The process is a very easy, one step installation. The rack will not touch the rim, spokes, disc rotors and derailleur of the bike. The front or rear wheel of the bike sits more stable than other racks, so it will stay firmly in the holder.</span></span></div> 	</li> 	<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""1almg"" data-offset-key=""qf70-0-0""> 	<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""qf70-0-0""><span data-offset-key=""qf70-0-0"" style=""font-weight: bold;""><span data-text=""true"">DURABLE QUALITY &amp; PORTABLE</span></span><span data-offset-key=""qf70-0-1""><span data-text=""true"">: Made with high-quality steel and a fantastic powder coated finish. The stand is extremely durable and can last countless years if used appropriately. The portable design allow to the rack move around with ease, so you can set it up anywhere.</span></span></div> 	</li> 	<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""1almg"" data-offset-key=""qf70-0-0""> 	<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""qf70-0-0""><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty!&nbsp; Made in Taiwan.</div> 	</li> </ul> </div>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""350"" src=""https://www.youtube.com/embed/UbQqFfs1ugw"" width=""550""></iframe></p> "
KP-449BF,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(32).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>- FIT all bikes up with up to 4.0"" tires. Large tire design will be PERFECT for heavy bikes such as downhill, mountain and beach bikes.Patented Product, Australia Patent number: 2013100013.</li> 	<li><strong>MOST STABLE BIKE STAND</strong> – There are three points holding on the tires, much better than other stands which have only one or two points holding on the frame, rim, disc rotor and derailleur. The bike's front or rear wheel sitting in the holder is much deeper than others, so it stays firmly in the holder. Plus a stylish dynamic stand base makes the bike impossible to be tilted if you do not push extremely hard onto the bike.</li> 	<li><strong>ADJUSTABLE HEIGHT:</strong> Adjustable to perfectly fit different size wheels bikes, such as 20"", 24"", 26"", 29"" and 700c bikes.</li> 	<li><strong>QUALITY</strong>: The rack is made of quality steel and black powder coated. Great for indoor use and rust resistant. Weight: 1.4kg (3.08lbs).</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a LIFETIME WARRANTY!</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/l1ukIHr8SCA"" width=""560""></iframe></p> "
KP-449BFA,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(32).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>- FIT all bikes up with up to 4.0"" tires. Large tire design will be PERFECT for heavy bikes such as downhill, mountain and beach bikes.Patented Product, Australia Patent number: 2013100013.</li> 	<li><strong>MOST STABLE BIKE STAND</strong> – There are three points holding on the tires, much better than other stands which have only one or two points holding on the frame, rim, disc rotor and derailleur. The bike's front or rear wheel sitting in the holder is much deeper than others, so it stays firmly in the holder. Plus a stylish dynamic stand base makes the bike impossible to be tilted if you do not push extremely hard onto the bike.</li> 	<li><strong>ADJUSTABLE HEIGHT:</strong> Adjustable to perfectly fit different size wheels bikes, such as 20"", 24"", 26"", 29"" and 700c bikes.</li> 	<li><strong>QUALITY</strong>: The rack is made of quality steel and black powder coated. Great for indoor use and rust resistant. Weight: 1.4kg (3.08lbs).</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a LIFETIME WARRANTY!</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/l1ukIHr8SCA"" width=""560""></iframe></p> "
KP-453,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC09020.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><span class=""a-list-item""><span class=""a-text-bold""><strong>FREE STANDING</strong>:</span> No more drilling holes around apartment or garage walls. This free standing bike floor stand is study enough to hold 2 bikes, max 55 lbs per bike. 110 lbs in total. It is great when you still need the flexibility to move your bike around. </span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">TILTING CRADLES</span></strong>: The adjustable bike holders/cradles tilt to hold bikes with sloping top tubes or aggressive frame geometries. Material: Powder-coated heavy duty steel, sturdy and stable constructed.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">ADJUSTABLE</span></strong>: The cradles height could be adjusted by being bolted on different machined holes on vertical tube. The distance between the two hooks is also adjustable. The adjustment holders fit the most common bike frames.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">STABLE</span>:</strong> The specially simply designed 'Y' shape base saves the floor space. The strong powder coated high quality steel base is extremely stable. It prevents the bikes falling in any direction. Product Weight: 6.28kg =13.8 lbs</span></li> </ul>  <p>&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/a2LizrstpeM"" width=""560""></iframe></p> "
KP-453-4,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC03450.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><span class=""a-list-item""><span class=""a-text-bold""><strong>FREE STANDING</strong>:</span> No more drilling holes around apartment or garage walls. This free standing bike floor stand is study enough to hold 4 bikes, max 33 lbs per bike. 132 lbs in total. It is great when you still need the flexibility to move your bike around. </span></li> 	<li><span class=""a-list-item""><strong>TOP STAND</strong>: Top stand could rotate 90 degree if needed. </span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">TILTING CRADLES</span></strong>: The adjustable bike holders/cradles tilt to hold bikes with sloping top tubes or aggressive frame geometries. Material: Powder-coated heavy duty steel, sturdy and stable constructed.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">ADJUSTABLE</span></strong>: The cradles height could be adjusted by being bolted on different machined holes on vertical tube. The distance between the two hooks is also adjustable. The adjustment holders fit the most common bike frames.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">STABLE</span>:</strong> The specially simply designed shape base saves the floor space. The strong powder coated high quality steel base is extremely stable. It prevents the bikes falling in any direction. Product Weight: 8.91kg = 19.6lbs</span></li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/wLfNy-dMBIY"" width=""560""></iframe></p> "
KP-453-4A,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC03450.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><span class=""a-list-item""><span class=""a-text-bold""><strong>FREE STANDING</strong>:</span> No more drilling holes around apartment or garage walls. This free standing bike floor stand is study enough to hold 4 bikes, max 33 lbs per bike. 132 lbs in total. It is great when you still need the flexibility to move your bike around. </span></li> 	<li><span class=""a-list-item""><strong>TOP STAND</strong>: Top stand could rotate 90 degree if needed. </span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">TILTING CRADLES</span></strong>: The adjustable bike holders/cradles tilt to hold bikes with sloping top tubes or aggressive frame geometries. Material: Powder-coated heavy duty steel, sturdy and stable constructed.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">ADJUSTABLE</span></strong>: The cradles height could be adjusted by being bolted on different machined holes on vertical tube. The distance between the two hooks is also adjustable. The adjustment holders fit the most common bike frames.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">STABLE</span>:</strong> The specially simply designed shape base saves the floor space. The strong powder coated high quality steel base is extremely stable. It prevents the bikes falling in any direction. Product Weight: 8.91kg = 19.6lbs</span></li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/wLfNy-dMBIY"" width=""560""></iframe></p> "
